2025-05-04 22:41:41 [main] ERROR org.example.server.Main             - Неверное количество аргументов при запуске
2025-05-04 22:41:59 [main] INFO  o.e.s.managers.CollectionManager    - Коллекция обновлена
2025-05-04 22:41:59 [main] INFO  o.e.server.managers.RuntimeManager  - Сервер для управления коллекцией Ticket запущен
2025-05-04 22:42:02 [main] INFO  org.example.server.managers.Server  - Connected to: /127.0.0.1:42760
2025-05-04 22:42:02 [main] INFO  org.example.server.managers.Server  - Got REQUEST from: /127.0.0.1:42760
2025-05-04 22:42:02 [main] INFO  org.example.server.managers.Server  - COMMAND NAME: "d"; ARGS: "[]"
2025-05-04 22:42:02 [main] INFO  org.example.server.managers.Server  - Sent RESPONSE to "/127.0.0.1:42760" successfully (NO_SUCH_COMMAND)
2025-05-04 22:42:04 [main] INFO  org.example.server.managers.Server  - Got REQUEST from: /127.0.0.1:42760
2025-05-04 22:42:04 [main] INFO  org.example.server.managers.Server  - COMMAND NAME: "help"; ARGS: "[]"
2025-05-04 22:42:04 [main] INFO  org.example.server.managers.Server  - Sent RESPONSE to "/127.0.0.1:42760" successfully (OK)
2025-05-04 22:42:07 [main] INFO  org.example.server.managers.Server  - Got REQUEST from: /127.0.0.1:42760
2025-05-04 22:42:07 [main] INFO  org.example.server.managers.Server  - COMMAND NAME: "info"; ARGS: "[]"
2025-05-04 22:42:07 [main] INFO  org.example.server.managers.Server  - Sent RESPONSE to "/127.0.0.1:42760" successfully (OK)
2025-05-04 22:42:13 [main] INFO  org.example.server.managers.Server  - Got REQUEST from: /127.0.0.1:42760
2025-05-04 22:42:13 [main] INFO  org.example.server.managers.Server  - COMMAND NAME: "show"; ARGS: "[]"
2025-05-04 22:42:13 [main] INFO  org.example.server.managers.Server  - Sent RESPONSE to "/127.0.0.1:42760" successfully (OK)
2025-05-04 22:42:14 [main] INFO  org.example.server.managers.Server  - Got REQUEST from: /127.0.0.1:42760
2025-05-04 22:42:14 [main] INFO  org.example.server.managers.Server  - COMMAND NAME: "add"; ARGS: "[]"
2025-05-04 22:42:14 [main] INFO  org.example.server.managers.Server  - Sent RESPONSE to "/127.0.0.1:42760" successfully (OBJECT_REQUIRED)
2025-05-04 22:42:22 [main] INFO  org.example.server.managers.Server  - Got REQUEST from: /127.0.0.1:42760
2025-05-04 22:42:22 [main] INFO  o.e.s.managers.CollectionManager    - Добавлен новый элемент с id=1
2025-05-04 22:42:22 [main] INFO  org.example.server.managers.Server  - COMMAND NAME: "add"; ARGS: "[]"
2025-05-04 22:42:22 [main] INFO  org.example.server.managers.Server  - Sent RESPONSE to "/127.0.0.1:42760" successfully (OK)
2025-05-04 22:42:24 [main] INFO  org.example.server.managers.Server  - Got REQUEST from: /127.0.0.1:42760
2025-05-04 22:42:24 [main] INFO  org.example.server.managers.Server  - COMMAND NAME: "show"; ARGS: "[]"
2025-05-04 22:42:24 [main] INFO  org.example.server.managers.Server  - Sent RESPONSE to "/127.0.0.1:42760" successfully (OK)
2025-05-04 22:42:26 [main] INFO  org.example.server.managers.Server  - Got REQUEST from: /127.0.0.1:42760
2025-05-04 22:42:26 [main] INFO  org.example.server.managers.Server  - COMMAND NAME: "save"; ARGS: "[]"
2025-05-04 22:42:26 [main] INFO  org.example.server.managers.Server  - Sent RESPONSE to "/127.0.0.1:42760" successfully (NO_SUCH_COMMAND)
2025-05-04 22:42:35 [Thread-0] INFO  org.example.server.managers.Server  - Сокеты и селекторы были закрыты
2025-05-04 22:42:35 [Thread-0] INFO  o.e.server.managers.RuntimeManager  - ⚡ Сервер - В С Ё.
2025-05-04 23:41:54 [main] INFO  o.e.s.managers.CollectionManager    - Коллекция обновлена
2025-05-04 23:41:54 [main] ERROR o.e.server.managers.DatabaseManager - Невозможно подключиться к базе данных
